Variety Name,botanical_variety,Origin,cluster,soluble_solids,glucose,fructose,citric_acid
Vintage Wine,NA,United States,heirloom,3.57,10.99,12.91,2.12
Wapsipinicon Peach,NA,United States,heirloom,5.24,15.57,18.90,2.87
White Wonder,NA,United States,transitional,4.58,14.88,16.70,3.26
Yellow Brandywine,NA,United States,heirloom,5.35,17.23,18.93,3.00
Yellow Cherry,NA,United States,transitional,6.18,18.84,21.93,5.96
Yellow Pear,NA,United States,cerasiforme,5.15,15.36,19.51,3.36
,NA,,cerasiforme,4.60,14.39,16.64,NA
Florida47,NA,,modern,4.83,17.08,16.26,NA
Celebrity VFFNTA Hybrid,NA,,modern,4.53,14.57,17.26,NA
Mountain Spring VFF Hybrid,NA,,modern,4.27,13.58,14.10,NA
Bush Early Girl VFFNT Hybrid,NA,,modern,4.27,14.91,17.21,NA
BHN 589 VFFT Hybrid,NA,,modern,4.90,17.36,20.15,NA
Tasti-Lee VFFF Hybrid,NA,,modern,4.50,14.73,16.49,NA
Better Bush VFN Hybrid,NA,,modern,4.53,16.31,16.68,NA
Solar Fire VFFF Hybrid,NA,,modern,4.37,11.36,16.98,NA
Rada,NA,Russia,heirloom,4.97,20.32,22.81,4.06
FL8059,NA,,modern,4.43,15.08,16.21,0.24
Cuore_de_Toro,NA,,heirloom,4.49,12.57,15.80,0.34
John_Baer,NA,,heirloom,5.06,15.25,16.98,0.45
Livingstons_Paragon,NA,,heirloom,4.77,16.00,17.63,0.36
Moonglow,NA,,heirloom,5.00,14.76,16.98,0.31
Orange_Oxheart,NA,,heirloom,4.83,21.79,22.96,0.36
Persimmon_Orange,NA,,heirloom,4.53,10.50,15.13,0.58
Red_Alert,NA,,transitional,4.73,14.81,16.21,0.48
Red_Brandywine,NA,,heirloom,5.17,14.71,19.05,2.03
Wins_All,NA,,heirloom,4.73,13.33,17.41,NA
LA1482,S. lycopersicum var cerasiforme,Malaysia ,heirloom,5.14,18.88,20.55,NA
Bear_Creek,NA,,heirloom,NA,NA,NA,NA
Isis_Candy,NA,,heirloom,6.43,20.37,21.66,0.30
